student_id,first_name,last_name,email,phone
STU-10B-001,Ira,Sharma,ira.sharma@student.school.edu,9876548001
STU-10B-002,Jasmine,Gupta,jasmine.gupta@student.school.edu,9876548002
STU-10B-003,Kritika,Singh,kritika.singh2@student.school.edu,9876548003
STU-10B-004,Lipika,Patel,lipika.patel@student.school.edu,9876548004
STU-10B-005,Monika,Kumar,monika.kumar@student.school.edu,9876548005
STU-10B-006,Nikita,Rao,nikita.rao@student.school.edu,9876548006
STU-10B-007,Ojaswi,Joshi,ojaswi.joshi@student.school.edu,9876548007
STU-10B-008,Purnima,Verma,purnima.verma@student.school.edu,9876548008
STU-10B-009,Qurat,Mehta,qurat.mehta@student.school.edu,9876548009
STU-10B-010,Raveena,Agarwal,raveena.agarwal@student.school.edu,9876548010
STU-10B-011,Sonal,Reddy,sonal.reddy@student.school.edu,9876548011
STU-10B-012,Tanuja,Iyer,tanuja.iyer@student.school.edu,9876548012
STU-10B-013,Urvashi,Nair,urvashi.nair@student.school.edu,9876548013
STU-10B-014,Vrinda,Choudhury,vrinda.choudhury@student.school.edu,9876548014
STU-10B-015,Wamika,Das,wamika.das@student.school.edu,9876548015
STU-10B-016,Kabir,Sharma,kabir.sharma@student.school.edu,9876548016
STU-10B-017,Lakshay,Gupta,lakshay.gupta@student.school.edu,9876548017
STU-10B-018,Manav,Singh,manav.singh@student.school.edu,9876548018
STU-10B-019,Nakul,Patel,nakul.patel@student.school.edu,9876548019
STU-10B-020,Oscar,Kumar,oscar.kumar@student.school.edu,9876548020
STU-10B-021,Parth,Rao,parth.rao@student.school.edu,9876548021
STU-10B-022,Qasim,Joshi,qasim.joshi@student.school.edu,9876548022
STU-10B-023,Rajat,Verma,rajat.verma@student.school.edu,9876548023
STU-10B-024,Suraj,Mehta,suraj.mehta@student.school.edu,9876548024
STU-10B-025,Tanmay,Agarwal,tanmay.agarwal@student.school.edu,9876548025
