student_id,first_name,last_name,email,phone
STU-10A-001,Shikha,Sharma,shikha.sharma@student.school.edu,9876547001
STU-10A-002,Swati,Gupta,swati.gupta@student.school.edu,9876547002
STU-10A-003,Trishna,Singh,trishna.singh@student.school.edu,9876547003
STU-10A-004,Urmi,Patel,urmi.patel@student.school.edu,9876547004
STU-10A-005,Varsha,Kumar,varsha.kumar@student.school.edu,9876547005
STU-10A-006,Wafa,Rao,wafa.rao@student.school.edu,9876547006
STU-10A-007,Yami,Joshi,yami.joshi@student.school.edu,9876547007
STU-10A-008,Zoya,Verma,zoya.verma@student.school.edu,9876547008
STU-10A-009,Anjali,Mehta,anjali.mehta@student.school.edu,9876547009
STU-10A-010,Bindu,Agarwal,bindu.agarwal@student.school.edu,9876547010
STU-10A-011,Chetna,Reddy,chetna.reddy@student.school.edu,9876547011
STU-10A-012,Diksha,Iyer,diksha.iyer@student.school.edu,9876547012
STU-10A-013,Falak,Nair,falak.nair@student.school.edu,9876547013
STU-10A-014,Geeta,Choudhury,geeta.choudhury@student.school.edu,9876547014
STU-10A-015,Heena,Das,heena.das@student.school.edu,9876547015
STU-10A-016,Abhay,Sharma,abhay.sharma@student.school.edu,9876547016
STU-10A-017,Bunty,Gupta,bunty.gupta@student.school.edu,9876547017
STU-10A-018,Chintu,Singh,chintu.singh@student.school.edu,9876547018
STU-10A-019,Dhruv,Patel,dhruv.patel@student.school.edu,9876547019
STU-10A-020,Eshaan,Kumar,eshaan.kumar@student.school.edu,9876547020
STU-10A-021,Farhan,Rao,farhan.rao@student.school.edu,9876547021
STU-10A-022,Govind,Joshi,govind.joshi@student.school.edu,9876547022
STU-10A-023,Hemant,Verma,hemant.verma@student.school.edu,9876547023
STU-10A-024,Ishwar,Mehta,ishwar.mehta@student.school.edu,9876547024
STU-10A-025,Jagdish,Agarwal,jagdish.agarwal@student.school.edu,9876547025
