student_id,first_name,last_name,email,phone
STU-11B-001,Rashmi,Sharma,rashmi.sharma@student.school.edu,9876546001
STU-11B-002,Sarita,Gupta,sarita.gupta@student.school.edu,9876546002
STU-11B-003,Tanu,Singh,tanu.singh@student.school.edu,9876546003
STU-11B-004,Uma,Patel,uma.patel@student.school.edu,9876546004
STU-11B-005,Vandana,Kumar,vandana.kumar@student.school.edu,9876546005
STU-11B-006,Yamini,Rao,yamini.rao@student.school.edu,9876546006
STU-11B-007,Zara,Joshi,zara.joshi@student.school.edu,9876546007
STU-11B-008,Anisha,Verma,anisha.verma@student.school.edu,9876546008
STU-11B-009,Bhumi,Mehta,bhumi.mehta@student.school.edu,9876546009
STU-11B-010,Disha,Agarwal,disha.agarwal@student.school.edu,9876546010
STU-11B-011,Hina,Reddy,hina.reddy@student.school.edu,9876546011
STU-11B-012,Kirti,Iyer,kirti.iyer@student.school.edu,9876546012
STU-11B-013,Mala,Nair,mala.nair@student.school.edu,9876546013
STU-11B-014,Naina,Choudhury,naina.choudhury@student.school.edu,9876546014
STU-11B-015,Ritika,Das,ritika.das@student.school.edu,9876546015
STU-11B-016,Naveen,Sharma,naveen.sharma@student.school.edu,9876546016
STU-11B-017,Omkar,Gupta,omkar.gupta@student.school.edu,9876546017
STU-11B-018,Pranav,Singh,pranav.singh@student.school.edu,9876546018
STU-11B-019,Rishi,Patel,rishi.patel@student.school.edu,9876546019
STU-11B-020,Sahil,Kumar,sahil.kumar@student.school.edu,9876546020
STU-11B-021,Tarun,Rao,tarun.rao@student.school.edu,9876546021
STU-11B-022,Uday,Joshi,uday.joshi@student.school.edu,9876546022
STU-11B-023,Vishal,Verma,vishal.verma@student.school.edu,9876546023
STU-11B-024,Yash,Mehta,yash.mehta@student.school.edu,9876546024
STU-11B-025,Zubair,Agarwal,zubair.agarwal@student.school.edu,9876546025
