student_id,first_name,last_name,email,phone
STU-12A-001,Priya,Sharma,priya.sharma@student.school.edu,9876543001
STU-12A-002,Ananya,Gupta,ananya.gupta@student.school.edu,9876543002
STU-12A-003,Kavya,Singh,kavya.singh@student.school.edu,9876543003
STU-12A-004,Ishita,Patel,ishita.patel@student.school.edu,9876543004
STU-12A-005,Sneha,Kumar,sneha.kumar@student.school.edu,9876543005
STU-12A-006,Aishwarya,Rao,aishwarya.rao@student.school.edu,9876543006
STU-12A-007,Riya,Joshi,riya.joshi@student.school.edu,9876543007
STU-12A-008,Tanvi,Verma,tanvi.verma@student.school.edu,9876543008
STU-12A-009,Nisha,Mehta,nisha.mehta@student.school.edu,9876543009
STU-12A-010,Pooja,Agarwal,pooja.agarwal@student.school.edu,9876543010
STU-12A-011,Shreya,Reddy,shreya.reddy@student.school.edu,9876543011
STU-12A-012,Meera,Iyer,meera.iyer@student.school.edu,9876543012
STU-12A-013,Divya,Nair,divya.nair@student.school.edu,9876543013
STU-12A-014,Sakshi,Choudhury,sakshi.choudhury@student.school.edu,9876543014
STU-12A-015,Neha,Das,neha.das@student.school.edu,9876543015
STU-12A-016,Arjun,Sharma,arjun.sharma@student.school.edu,9876543016
STU-12A-017,Rahul,Gupta,rahul.gupta@student.school.edu,9876543017
STU-12A-018,Vikram,Singh,vikram.singh@student.school.edu,9876543018
STU-12A-019,Aditya,Patel,aditya.patel@student.school.edu,9876543019
STU-12A-020,Rohan,Kumar,rohan.kumar@student.school.edu,9876543020
STU-12A-021,Karan,Rao,karan.rao@student.school.edu,9876543021
STU-12A-022,Nikhil,Joshi,nikhil.joshi@student.school.edu,9876543022
STU-12A-023,Siddharth,Verma,siddharth.verma@student.school.edu,9876543023
STU-12A-024,Aman,Mehta,aman.mehta@student.school.edu,9876543024
STU-12A-025,Varun,Agarwal,varun.agarwal@student.school.edu,9876543025
